Utility to process github logs
Going to process projects/top_C++/rethinkdb/all_log_nomerge_function.txt 
---------- rethinkdb ------------

COMMIT: 735c3d626c632976d1d5b98f02405c6b0cdef793
COMMIT: e0f3fc0c962659ef927b42c631883022ae4c3973
COMMIT: eea2c5744b8d8bc45a3ae877341cc360f45aebae
COMMIT: 430ba210a7f8ff40b109d2970b3a36733acbf3e1
COMMIT: 4c489b6a98c294be40afc651162ecc41b2fb6dd5
COMMIT: 5fbe09c9bb3f3de3025db0f452eaf19f95d9d4b3
COMMIT: 01e236b043b74d4648a3f0dd954374a774987e13
COMMIT: 45db0f670cbc177de7cf9fd94d55b05aa2cda382
COMMIT: e6c152e7d7f4cfa3041b342e858f38ba1ed82aad
COMMIT: 024b06fbb559082eccfeb590d6f3bef0e3c36e48
COMMIT: 9b94c60b9895eadca1861d82c89e51410ce3b63d
COMMIT: 2547ee1d996c3c544736cd69bee561f4644a581a
COMMIT: 39f998efa142202409316b9e5da8f38f224b2302
COMMIT: 98164ad7875d95ef17be308dbae66d8d05c2d061
COMMIT: 1fbfb9f690686cf7d773a44c5f7577f5520c43a2
COMMIT: de0e95cf404e55a09074b78dea44a61e7cc52cab
COMMIT: 21c199ec901abfb1caf52df68ee69162d28b6d2a
COMMIT: ad61fc3e04506c948d490bf881d17a34fd4fdbe5
COMMIT: 347a7e635bf14190e4d2de742da379279d143efe
COMMIT: c7b0332d0ce0f9f208cbd9e97f0790062ed0209f
COMMIT: 5228ce91fca43c836eebb5f1b6a43a94000882fc
COMMIT: c005f30e77c13f6ff5fa83b0d488d227db0101c1
COMMIT: 579fe47d35dd00a24510371b848c9acb181c98f0
COMMIT: 5a5ebf42f3831d61844606a70d7962006c1ac88c
COMMIT: 1df78072b5178cdf04a6040b84fc28ef7080ae37
COMMIT: 439f0fa2224adc53a094c857f391c618a2526aa7
COMMIT: 2040c25ee42a49cf0a8cdd75faf47dda36238f9f
COMMIT: b8b9d4895b899756217e36d20cae2d32c3d1f71b
COMMIT: 263bc6cb7fbc50cc54fbc409b5685d69b9e170e8
COMMIT: 593e6fbda044e5ef1009ee3b15f6103eb0fe3614
COMMIT: d1416d11daba319fa8876f546ce4969c285a4e9d
COMMIT: 4093d396c5a0e55821e12a8fdcbdf843a738530c
COMMIT: cd5065b63e169f27e00b8d9e431c3bec20325fc9
COMMIT: 51834037d09d89bcc008501c43be2ade0975d320
COMMIT: bd3ea7fa87f675a2c2014cd54a38ca6fe276cdb9
COMMIT: 0b90cb692bc92a1702d7e7c48e545d9f8e108aa5
COMMIT: 7dfa33cda9d3f51359f0d57709bb6d3ecd06e3a1
COMMIT: 0c09affe939ef49cadf982ee412407ec81514eb2
COMMIT: fca7d11800be6bdabe1526ea40f9b0197ec362d7
COMMIT: 2acf2c196e2163978048f633a528cb8bd39ed5f9
COMMIT: 55d34597c82aa7e7b4635a72d3af0db421d051cc
COMMIT: 7c3465ac532d00735f43b877044ccbcee07bce30
COMMIT: dace63f421e102fa82dacda2b57a7cd1e82acb38
COMMIT: ba7280441cdf2ac4f99b6313d2d64e13b123caa8
COMMIT: 241aab3fba3e6ff5b6ef295b9aa3f34dd646f6e6
COMMIT: 0f4c32594b8075eac8a73e0a5ec106ebfd99d821
COMMIT: 57dbabe44cc41227e6288c734aa5e571adb7b395
COMMIT: 5b182957877dffcf96a3a251b123285d18e124ba
COMMIT: d64210a28332d4fd736f90b08b9e981b87cfeb8d
COMMIT: 4099ef727928eb28d189735b0895ac07fd8cde9b
COMMIT: e0e7afa333178b796f5470a6228a41c3bc9b257e
COMMIT: 28bad166792384316311e856c57e9aab66d4dd96
COMMIT: 62b963e0131d6d46ca04905b87b463b780af9985
COMMIT: 5cd8ae10d2656be4eb1842cb190478e0c54abd4a
COMMIT: c3dc6220238139010edaf2651608fc04f6382acc
COMMIT: cfeb23be2e11d48a8f816eb8a614493fc98bf472
COMMIT: f2e5677f8820bf05766cdd160f4767663bdbb005
COMMIT: 0ffa51afe25a04ec7f35f77cbd09185dcf5e85e0
COMMIT: e58a720f66c801d3fa1f18d161348b9252ed4e52
COMMIT: fe08b3658c1907144b03c308ec2d6b0c49a4e6d5
COMMIT: 47c174c1cc5235bf05943107844c43e999db8f2c
COMMIT: 3f4d93c9fdf50c0ac7cf0c0d3a33c6fa7f9d4531
COMMIT: 5ba1a284aaaefdbd0f5631fba8baa809be35f64f
COMMIT: 1e12386428cfa7c81313c5771ae8f755417b37e0
COMMIT: b4b04d6591e86ca902348ee5415395c9bac246e4
COMMIT: 4bb6175272a064ae794375b3de9c2a902510840d
COMMIT: 01f7026b28b9f1876fd7b557ba6eeaeb26063171
COMMIT: 6da20c228b47bc77a1504928f84ed7cc4b962d96
COMMIT: 6a1d4cde78cae0cf4104537d54d93cd3f24518c7
COMMIT: 27d1188cb7186a1fb7e5bf2a24f6ac9df9dba411
COMMIT: 0c249c7825c2f54f8487bc67f6821a9425783b44
COMMIT: 5168a3721a113affd0e5aa1c3759ad3803f51d01
COMMIT: cf37ea7d9a8fed54c5406ade225b7cb6dd95aa4e
COMMIT: 75538fc668110ed7c977dd27918129385074103c
COMMIT: 8d2f46b5da1b560c275b570df2ecbea3891893df
COMMIT: f9e8f8c561985f9184c7536508dc39faa4a35a0d
COMMIT: dd7f32ff8fd7fef061abbca31cbdc65b31858cc5
COMMIT: 871b0b759feba0a4c34dc85e7f4e6b799c22572c
COMMIT: fb9b625b9ac98d64e94b435f74d2d471c8820f28
COMMIT: bc4357d8afeee5e17e95eb6e2cbf919d7047c2ce
COMMIT: cce38103e16e3d18e14bdca5be0a9177bee56405
COMMIT: 83cf271671a7b47ac9502299f1b9928e20f81154
COMMIT: eec12697a8213e2854a0281ddfe6a73a01478d57
COMMIT: 7d0ac84084de30d589f009526e6e12718e1ddf4b
COMMIT: b84586ed214e6bb5afbaddda0d9a5b3f8d858576
COMMIT: 39f6591459c4323a4f9d2b74f7c6d0c0586dc6cc
COMMIT: a2831de65d28137478e4e01b47a7f14bf7cfe3b6
COMMIT: 03d0d6398670461f728b236496d06105a33b674b
COMMIT: 55e6361d4f520d56221db738c1763d2945c806f2
COMMIT: 0d174656acc08498e9e5de2537b9db7dae987164
COMMIT: 5eccb0e3c2d8d4dab1a30ab80d6a0afed96e6c78
COMMIT: 6133561fc56f63e57ae16819363a3769189d5b1f
COMMIT: 868e8bf11595618bbd9723d6768c3862256d7fbb
COMMIT: cfa629c96e55a1eccd39f29d31dcfffb5c81978d
COMMIT: 8b5ddd11c333a2ca801d64cbfc93b1f5bccb6e32
COMMIT: 44397be42cadaf8a70ef331b777b5ddd82266151
COMMIT: f929d45d6eec26d98ec7e43579a49d323e54a707
COMMIT: d03ecae543d414d3bb8a5fcddd4b993a396c8588
COMMIT: 0d27cbf250a7c1cce5a5d342551d36566110c1ad
COMMIT: d6303ab9bc3c5b809d9c9c43b7ee7f9026e64a8c
COMMIT: 9b02d6ef4a724d869473014eb8e090ce406521d1
COMMIT: 8c1646f9ce4cfeea3e34dc4c91c48740157aeae8
COMMIT: 3d154f419a1a618bef04de85f7117df8885ccd94
COMMIT: 9f52a51a9c54a2030838b59800ef7a65a9f5cd36
COMMIT: 47865248dfd375e9fd4b63fd9dfdcbbb3df98479
COMMIT: ba307ab142c43dab9ef856374c9764aca81d52a4
COMMIT: b225985b3bc8bd0790a0c7eb490f14f901467130
COMMIT: 790f104136856f65858f4bf56e2b8265dbfd77d9
COMMIT: f1b9aed5fb312f1c0237bf2a3f9da7c8849c96b6
COMMIT: ed3aff2be25769be55597a751782bc56d1b0ddd1
COMMIT: 217e628a91b2a08eae5a70babe5855806cb05e16
COMMIT: 293d69732114341065c58c2de7a4d65792151d17
COMMIT: a6060bbaecab8cbeb456b7cc8fdfcd071e8bc103
COMMIT: 7374070e77b6d24ef438f1232456e5aafddcf574
COMMIT: d185277b08cbaea962ebb3719fddace08ed656e1
COMMIT: 1003763991d231ccc2f4c5971e630c484a98772a
COMMIT: 73e471fb7d2b362b63331cb3447597da2d23f9f2
COMMIT: 3248662527fe4258fc60aa0b84c7384187cb474a
COMMIT: 27c3c372ddca5d2f12bc1ea108576c770cf0c078
COMMIT: 9977fbe4499db575116e3c1586b3aaba3706a3c6
COMMIT: 81c5203704faa00bdfe2bd10f357eb5c3df76955
COMMIT: bc58ed043b76d6138468db4d32d228bbcf3e6b1f
COMMIT: bd89960ad225cacc8eb77c48d4df6c430123f67a
COMMIT: 3c0405544d522a8406102dd482fa2a383cdb91e8
COMMIT: 6b082eb74771b7f35cbdd149bf73604e5fbbe923
COMMIT: 23b407b46f4ecc65fbdf8c15b313e196a7adba93
COMMIT: 0ffbfcf8da92d913e707b03a680610b4d74cecb2
COMMIT: f37bb84c3fddf387f050b83fdca1004e211faad3
COMMIT: 17d66f9a9d6d87160c4385f07cf6241d8b26014f
COMMIT: 39c053bdaa53d8d508b7014a6f41272de7f8eec4
COMMIT: e68259ed60933785b6f8bb75304fb898096807b8
COMMIT: b1df66a0a7928dfdb9cbcc1f81bd39d8765ff91d
COMMIT: 30b18792eaee224d717513f3cb7994f65f81937c
COMMIT: 06b9a4e72d525ef3821f2d44040dc57fced60767
COMMIT: 3ae32ee786543b44853800fdfc50d5f80da4c775
COMMIT: 085d8d7f9b746dc28998ed6d8c7723c12f3317bc
COMMIT: 2c0ff12919abee461420d36f643ad60ba54c8456
COMMIT: 9341eeff97085d5a82c2e50030e0284fbfc67df3
COMMIT: e91e11f6f05050c3612b6f52ec35ddbebe19d875
COMMIT: c0a0b60dea8e3f4ff69709f76a57c77313ec5ab3
COMMIT: 8263f6d7534f96e03d3700923263a4ac87d30755
COMMIT: 0aa85731cb8f8b137823815d5bf69a9210be6461
COMMIT: 9216e495cd77b2d6ffb5d52bf181a6f649d4abc3
COMMIT: a54ac14c86d1a8347cdceb3d575ada0c547d6a7b
COMMIT: 4d0a80e56eac6a7d9baf15bae762b8304a4984f7
COMMIT: cfa207bb41324c4db8e0ce39b7dda5cc1ba0d1a8
COMMIT: 0f5ff686dbf47dfe44b064f8be271f7ad8ea79be
COMMIT: e39bced4afa4cd2f91642722cb80bfc9cabf35d6
COMMIT: cabbdeca8d19f9e058cccebdc4facfa1b2c77811
COMMIT: 9e582e82855709f29cfd204bf65a23cfbaaff4b1
COMMIT: 047e13c6fbadc424c717ca2230518f1040450d3f
COMMIT: f0028b8486136f2b506f8acde5c188b6f2695b48
COMMIT: 39ede31a8e43afacba0d56a07533ed5b449759b2
COMMIT: 7714e92d5e022f5605c774fbc0b9c2ce333869a7
COMMIT: 0ae7ecd038fb91bbc695f63deb165c1b3f8e5c5f
COMMIT: 486bbfe555744831b342316c592ddb298bbcfa6f
COMMIT: 8ed64ce1e93afc0629f718d5249f78f20a035fa4
COMMIT: 7bc5567c999ea72bce0b83d770fec3a0d451f351
COMMIT: ad8442b40319ae913dcbf668332489590e42b115
COMMIT: cb252f99df6191a549ba392e4d44a8d2edf1689b
COMMIT: 37d6f5320a50031c0cfa73f4d43f20f9a9eea441
COMMIT: 0d4c258a1366d806206a44036d6a19bff0c2b123
COMMIT: f2d8f57d75ac96425d1471b0cc2dc74a5e753e7d
COMMIT: 7b2a3048c5e7c64adaf4ba269b4a801ca0730a1f
COMMIT: 07697c1f535694bf9a31e093dd8098616459f06e
COMMIT: ae3a70a617ca5ee60c1b248911966c85e1dedcfd
COMMIT: 133fd1781fec50d4cda9b152b83805681cb28a13
COMMIT: 182a4519baa3ca975638343fef47036fff6dce45
COMMIT: fc3a99fef384126ab2fc099028425e3674af9059
COMMIT: 0fb3f1426e41a51ca3e10717782db7b8d941c481
COMMIT: 48c7d2a7183b46b20ab7b7faab571860baa8897c
COMMIT: 928d8c674ca39c3e1c83cda1e6b07ae3f335a030
COMMIT: 908b543e6c4c70f9a18620b3d159ee015f8d6590
COMMIT: 877f3c48370ee8405c553c46a2f8c1b6e6dfc157
COMMIT: a374f567558973b6c3cc4bbdcf0e7c175e0ba710
COMMIT: 57c3061462a087972fb0b839e025eaa3322edeab
COMMIT: 66775f663afc7f2bfde20884cbf3d231b7a26910
COMMIT: f2eca7ef31dc7a877d97fb128b4e1b924f7bac5e
COMMIT: e98443222ecfda607af039ae5d06c52ac3b86b83
COMMIT: 6cde06874a037bdc681ecbc8e17daa993f3f2710
COMMIT: e5f4972e24887a7bf68c73622c6a4a5dfde3d538
COMMIT: a1ff2457db59cbabf52d1e3c60b816a551a43315
