Utility to process github logs
Going to process projects/top_C/beanstalkd/all_log_nomerge_function.txt 
---------- beanstalkd ------------

COMMIT: aab5cfb0ed5fe3d8edffbccbc573b36366215449
COMMIT: 5145d07669025c75ee43edc04522fbd9e8eedaed
COMMIT: 942283b00cb29d8659a846bae36c620911b27679
COMMIT: 9bf7f1638ea623283abe955660dbc3c5d74ef153
COMMIT: 1ca60f54006364ee7f002603b8324c34906951c6
COMMIT: 261845d35429fda45636230886a8528207c57a18
COMMIT: 8e91b54396a3eca45b7a4b42623aa1332bf9bad6
COMMIT: ba0a28d326afc36a830605fa204c2646955cdceb
COMMIT: 16029580a71182796aa7ff863e8955c9414b85f1
COMMIT: cb061b8fee67a76978f3ae465da5b5b2a258bbad
COMMIT: 9856ada75c976411ca50dff8bb465233fdf439e8
COMMIT: 8b0e9bdfd91509fa01b21e72e1a2007052028b0c
COMMIT: e2ce23b970922630404abb4feb38be2324f2480b
COMMIT: 209a0d61e95cd152cb05e40e8c2c64707f6ebbb1
COMMIT: 615c445e5fbdf45e3057f965a4d45fb56d8ee985
COMMIT: e854e3a4421dec352ce27be77b270b984a6db037
COMMIT: 840afe94a33895d374f6461ed294aee86e7079ed
COMMIT: 2f2bac57c36f1e64f569d64dc682d02c64be1180
COMMIT: 75de429c8a9468e82e099cf9c451733784edf424
COMMIT: 2e9d33230a4699e8cb2005939209bb4a720906e2
COMMIT: 69b5c8c2bc5c99e12234fb0f98e918a5cc51bc27
COMMIT: b8545431967a39b6b1ebad04982a3af76e1aa725
COMMIT: 1a140b808a39ed644dd90688ca82bf1017e4e5a1
COMMIT: 6e902346b6e54e0fa05d8ff1093e28858e785255
COMMIT: 60c0cb72ec50f9b4ed072d753ae134ee1d9f3159
COMMIT: d8ffaa8978eca508691803cb281f8653e6c77d7b
COMMIT: e1710015089a37656428de0caa75e06a3e940e1a
COMMIT: 360fdc04ac54699ea2a47be709e20fe9cc00396b
COMMIT: 4267bda8eb696c9e4a57b7c5fcb265705b16a3d4
COMMIT: b2380761e2f637a07315719db66588be8cd7b2fa
COMMIT: df46041aa36cfcf8c87796e21972b4320d3708d4
COMMIT: 75964e9e960e680cbae170378dd42b71866be674
COMMIT: 64c62412cea4d4230766ad1445acca504a9a2d88
COMMIT: d6b37101fe69397ccec41bb28d874d0c0f4d62b8
COMMIT: 32c0c88f27aa729f7fad30b5bd5bb6c12673b5e0
COMMIT: d53c99647e5040a58a1cbf2eac9966b2ba0997c3
COMMIT: dc266b8f89b7b792e9adebc242bedc6f9b982193
COMMIT: f96ee87c8fa2d13e6fdc7fea73d0969f52b1deb9
COMMIT: ad38067cf335f51a9201dd79f33fa13fd4d4a1f9
COMMIT: 9b48dbc446cd3e08192c80917217d6e14d306fd6
COMMIT: ca5fdc3a91efd841ac4b6ee6d622755ab538e114
COMMIT: 1c27cefd23be16bb1aa043dcde755c9e9c720f8c
COMMIT: ca1c4e6160b7f262d2e35074e7032230ff576a89
COMMIT: 594f79a9651962150eca05e45c1c98617f2a7bb7
COMMIT: c80708b48f25b2bb8556e2d3282b66f01e83b835
COMMIT: d77875dccee2bc9cb898e2bf3daa8cadfd0a12e8
COMMIT: 1efdc1fc9141f9201571a801ab5310b31bca482d
COMMIT: 0106adc14690aef152f11b3b3cdd10037de43863
COMMIT: 7c451fb1848810038e8734cbc56ace9e8a19c896
COMMIT: 4ab29620294226a7b26da40953a3fe0fd7a3f7c9
COMMIT: e8975461bdcb7dd3cced6eba1de8a7282a2d5184
COMMIT: 1d91d7aacb72482eddfa8e6449c1c890aa16f2fb
COMMIT: 5454b23ba020285295b074791078e9e1729615b6
COMMIT: c1b09c4fd41f4496fc147bd273d0b823b400f35b
COMMIT: 35594240aec055321e97065f778be5ec6196cbfa
COMMIT: 0f2e8db0bd21604384770152be9ed8a61a2beb64
COMMIT: d90f71b6abc973206ff1e61fa1fdc4fbacb8eb70
COMMIT: 6026eb8e3c2c728baf8e42de3f899d60b9d56c61
COMMIT: 8e9392589ba5759cdff6c47348503bb48e742f8e
COMMIT: 2e1e9e2acef9b94edf0a3bc8646f43be9d1995b0
COMMIT: 6b519987092b03fa004a69821570a9ea5f7f8d15
COMMIT: 5fca0850de2b6f5c5010dc001cebd8440f519dcf
COMMIT: 6e9c54adbbadc5375b5b091c1a62e6e57659177e
COMMIT: 5e19ad3b2c2bd97dde94b9ed5dc382fbbc9e7291
COMMIT: 2c25676e3e7229d5489f75a80fccf46b2e74323b
COMMIT: 75b9429d1262b805520ea8cd50de3b0bad76b31d
COMMIT: 7952578b4be1fdb5bb0e0ccb3da1e5445ce02916
COMMIT: 81baa6b9fe1df6c7af7e441c873cdc9dd831209b
COMMIT: 7a49cd570c9ebe807b9d33ddea8bdf238e744004
COMMIT: c779823d106750eeeef9450dca9f132cf46a4326
COMMIT: 7771f63b3ceb39312e0d5a54fea2cee87e816e49
COMMIT: 257772ad053c1ba1bf7e87004e69cd5bd8624a99
COMMIT: f75171d18ea86ce98cd9df924311eb9f7d180541
COMMIT: ef0957cb5f3d95cc300741369b107d1d59370f18
COMMIT: 95acd3b6257bf80f3a98084e7b20f11382b3ec0c
COMMIT: 945d99553541ae118735e54ab41c7c3cc093831e
COMMIT: 6939bae4ad334253557782d2de6d5b748844c9a6
COMMIT: 406b528ffc77a84ff967805c8bb1bda909435197
COMMIT: 582c8cf6849b8b7aa458ca0b3b2c2d6ed8c26e28
COMMIT: b2c9390ac2bcb723bb36299ef0441de63fa88fa8
COMMIT: f568f7760495ed201052116517c165dbc1a091bf
COMMIT: 72ec2f801334aee5da8a80c618016c4239c733c2
COMMIT: ccb9fdb0ba0b01201f472cc938d6de9d471cd5d9
COMMIT: 630dcb54399399ad33a3b6d14ac8dcfcb3a44eb4
COMMIT: 3b62e54d03cba63fd76a2fcba38da13ff6bc1e6d
COMMIT: 80e0ff4a6f187913ac78ceb273259519ae225a20
COMMIT: 45978b138f5a799aa00b4ba7e31563456fb7de96
COMMIT: 8a612c9ac2b4ea84f6126cec7efa508821cc07f6
COMMIT: 216d2d153293e4f353883ed0e7cff51afc4f3c6a
COMMIT: 2a82cead81cec3ea95db8f2ac1c48e8cb30fe055
COMMIT: 3f8b9b8350e94b129c8cb7b39b08d70efeb82c01
COMMIT: e40c07b8ff248129b018534e1828cc9889933d68
COMMIT: 3b3b67230abc1b31836474f4c319d4026ec2e80d
COMMIT: 064e226634a93a666c2bda4ee23780806c11c046
COMMIT: e87c01d25f7606d3ee7ee8abc849c0679c726380
COMMIT: 86c1e4a7c58239ffd3ab911583e13c760cd89673
COMMIT: 880a21830cc030edc11b7d1c195e8a7b61679e15
COMMIT: 87f08a8ee59eb12b8890ec6c34a2ca18b7ee32a4
COMMIT: df7667b715c8cefbe59a20cfb2cdce22f04345eb
