Utility to process github logs
Going to process projects/top_C++/openh264/all_log_nomerge_function.txt 
---------- openh264 ------------

COMMIT: cd5928d3976809011076ef94a06db1563b6902a7
COMMIT: 128546b99229a0dc3d42052c8f1e45a9b0b83116
COMMIT: 560fcf17fd254a7062c61321711d0f8b6cb9bb3e
COMMIT: fd45e7ff155cdd0a26d792a699c533e23ebb2ad0
COMMIT: c31511257b1c2ed633ddc57a31cdcfdf52948bb6
COMMIT: 1c44c43b8a25f65997fa64d4c2dfb4dc0e72eab1
COMMIT: 0aa77d2985a0caf8f60938cbdf330260c12660a1
COMMIT: c8afd15681c3200fb1ba8024f554bff933b12f57
COMMIT: 80bfc43df55dd8812da3eedf6d1ee96235891733
COMMIT: 50e2eb5e3c067c123c18e88d4861f0be33cf1db9
COMMIT: 2b9f4f66079e83aed995104325113a78421a2220
COMMIT: 08c07e4b8fcf8abc86d56c5bba4c860d1fe99785
COMMIT: ac404ce69d9f1d12b5ceb673776ed3e2a0589843
COMMIT: 7fa6c576e3c74fa7b452d7a7d95e9ae820e5a3b9
COMMIT: 1a7826c6eb393713186361a5f8250160bc9b0f77
COMMIT: 45ef803e4db99776fe9ea9634f59ee995b764e32
COMMIT: ba0351f56923f445a9dcb2eaf9ad44b141ec4aa7
COMMIT: 32697b046b7b1da64fec049b15cf75860e1560c7
COMMIT: 103fa5bbedc49d9032b014c9b5cc0afb11b8f7bf
COMMIT: fe55d5a208bc9d450f7b63a581795edeec47c3ac
COMMIT: 18ed25fbb37e687a3089ce738b63ef20d4873aaf
COMMIT: 54c677cdd7717cbdef490ef3c64a89da7d1cc28a
COMMIT: 8ffacf0918c7a2c9a9c68920483451062ff6d3ce
COMMIT: 0e9541247a88fea6605a5a3530390fd12a2e3dc2
COMMIT: c1b48640fbdb5986550d77ce86e24ce6b4737c25
COMMIT: e061bb3fc94ac50ae32bd3a9d1ca05a83ab93995
COMMIT: 2951a7f3a3e0d6a27213d5b67c2953d8c6fe38f9
COMMIT: 880e0fff06a407a72549de655b6163890735e2b2
COMMIT: c19db25043ffa1cc3971eddcb875cfe915fef96f
COMMIT: cf8574575201ffbedc00374aa138fff17e859f4a
COMMIT: 53e2f67e80ef1ff5a85a3013fffb6eff586b2836
COMMIT: 24192cc235ae186a4f3b907f6aebc1ac3a6a9252
COMMIT: 655f3b43b64bdb2329f15b613cd4eb843cf71d6a
COMMIT: a291470072896d43ab154af4e90bd3c5052b3177
COMMIT: ec0d151879f77f80a75b1f289320e30818578a3e
