Utility to process github logs
Going to process projects/top_C/libgdx/all_log_nomerge_function.txt 
---------- libgdx ------------

COMMIT: 602526091549e30fc187d0302b61769caa5779ea
COMMIT: a00b25476b00bce6ca960419bebb2224f6baed53
COMMIT: 4161c500fe89342aafc1ef40d98664f6b6c3449f
COMMIT: 04b27c1a44fd3c59e6213c0cf356483dd4c4a0d8
COMMIT: ab51f196039f2ad4607da68a0488514fc217cf3e
COMMIT: 92e05b421e78bea7719222405e4196b4d6d44928
COMMIT: 0fd7128e1d707636dd4d8a5db92c3054b47e7020
COMMIT: 03215988d1c665b4734376f63e45215bf4378752
COMMIT: bd9a38f6b0830368eed1959ee8b10f95da20c478
COMMIT: c9e3c9818757401357362b00ab15460900af8310
COMMIT: 6e9463ea8f76b38556dcd8ebead94168bbbefe53
COMMIT: cfd67486c3b1b287313fcdf1261ea46a0091161c
COMMIT: 8f542d4e2e87313019d53643f9ce106d76581d7d
COMMIT: 348341211983facac387398cfda9213db12aae14
COMMIT: 14eb562cf3d3c67b2d4e1b4f57a5bce0498ef44e
COMMIT: 99966bf02608fd7b2419e7fe472c91d03b0a7662
COMMIT: 3ea3eff151b3f69698ac4ded04b2c8e34b191ea8
COMMIT: 8dc31b6b67906a9093b2530ef39d3aaaf5f572c7
COMMIT: 77f64d5d9fcef20d00863aac07bf8759cfc6aff0
COMMIT: b7e331b7520bcf9ea98762f7c6a10ceb665ebd85
COMMIT: a76d19c741c8c9ac76e6b072be748fbb3906d58f
COMMIT: 848348adbd63ff7d21dbe3005e8cdea14711c343
COMMIT: b7f1f4832c7a35162ce48e03ce5484d6222bfaaf
COMMIT: ed0f11c530b6c5d7ce223bf5ffaa6dd2d6201d70
COMMIT: 1627d7eeedcaca420a73aa1c69101f558741a7bd
COMMIT: af74495a3e70ba22c0db4ee448d7036fee94510a
COMMIT: 69e62f8e924553e73aaab0270e73f59f9514bd9e
COMMIT: c3c89a34ef4f6bf0cfb7497e3211aec4608a82aa
COMMIT: b493193b5c69b64f30053941ed75fd02d23d161f
COMMIT: c1ac1e5c0b82855c0c0f56147a0ecdff70254786
COMMIT: 6a5f50800a59f49911c5f7b8130f2504198fd9b0
COMMIT: 2e64348b7ed8c860484445395512ad5d22bda6cb
COMMIT: d963b68a5c24e555f717057dd693fca09cb60d23
COMMIT: b582de0f7d962a347037e8304c2f85912b78c00a
COMMIT: 4d380da83cd7c5098c6d66bdfbfb2acdaec511a8
COMMIT: 638adee4528d1f7adcbcdfebdbbc05c5ac6635b6
COMMIT: 1ec5b607c811e0deb58370268f4c067af570e70c
COMMIT: 3469210778425d7d2c6b166d2f77578e5c0cd9cd
COMMIT: b9b62eb79ead93d9d212fc640131aabbb5f3b07e
COMMIT: c1a3b429f0f12948acb1ec6273516b8479b358bb
COMMIT: 8c0773e24e8fa3c93b7e261f8c79cdb3ee34d4f4
COMMIT: 0b84ad1800bca8f46d93df2c5fd1dba04d33f54a
COMMIT: 9d18e8d99493aedc68fe39f19a7d146a83e78fb6
COMMIT: e6c416b3e72b5ac448c09fa947560adcb5bea9c2
COMMIT: f338a33c2cb6aa9579dc03ec0a9fcf07fdfbf718
COMMIT: 52aee41253b3256db0b3821552e26eee6adb8101
COMMIT: 1a2a183156ff3cb9d805be2cc58af1a46d85fda7
COMMIT: 08adb862640d91e4d111f1bb00b900d9468f763a
COMMIT: cb7ecf803c80960048e9926074988b621f641463
COMMIT: 1be2dc69e961ebabeb804e88a94a616091127dd5
COMMIT: 41e3bb46231f415c8fc0f5584bcdfcc2f43999eb
COMMIT: 4e628990f1bd53c653c595751b28466de18e3e3d
COMMIT: eb8c74388109de32ee423fef77121b244fdb3f53
COMMIT: f0b4dbbc4c54de8c07ed19feed508676e73a249d
COMMIT: d8f7d5a551ee1b16e3c3a7f15bd518dc18c61f58
COMMIT: 1acb68a0782be4a5893f7e104008051bc256354c
COMMIT: c0e28d0c89396624f06bb1dc795f56f5b41efb1f
COMMIT: 42229f95ed8f071850aa8b69ba2cc49b65a791fc
COMMIT: 1ae6a5a43fc90bd026c817efc3b6f6b42e0ed2e7
COMMIT: 9a457051627dc3781fa42622df02b1c3768d71e4
COMMIT: a19041c88db7783240256078e901a772526dc890
COMMIT: c66a006e89f54dbad4b38ecdf320ab8a5e4a9490
COMMIT: d2187fb276459d246f5287c2c47a60ffca273218
COMMIT: a8f089c14c56f866df5475e77633977e0ede98c8
COMMIT: 7e322e576f8ad0c1b05862a23c045bf5f0cd090f
COMMIT: 019f9a2896a1eb0f9cd88d33fb03dc47a7a4b53b
COMMIT: 63cbb993ecb6797e6fc8654c20c427ba74e094e4
COMMIT: 5b4ce9fe9af5aff1c7cb5b7808a7cd454d26bfe8
COMMIT: 79012943201c1ab71f0a862069897759235ff7c5
COMMIT: d8092638d37468e47c64c4a998ccf8e17d4363a7
COMMIT: c445fe2242cbe78a3d4a0026b94d0da1ecdc037a
COMMIT: 46598ef717cefac5f1e10b78b0971da5b91925bc
COMMIT: 00f729f162a35591f669ffc8c42dc108dcc0753b
COMMIT: 724ee69eb66269f6a03444292e6e59f415a28ffe
COMMIT: d112bb607e3e73e15eb192324b8334f8477a23fc
COMMIT: efc63cad5e415281c247090a512a1fcb690b622f
COMMIT: a81506b17bf8f5c48988b2413438594b72e07223
COMMIT: 4d7c11efe373ad7adda3433115241737523c83cc
COMMIT: b6441fc48861bc2c07bab20dee6d1cb867d261a4
COMMIT: bd7569e62bde9096c28f1d80d42fd5a07e9abe84
COMMIT: 2055f4a346937997d503ea07e5b309f727c63a1e
COMMIT: 99a9e754025f1b392c1309781b8be17551b53b92
COMMIT: 538c3b231b1ca8775c656260ed69c401e94446e6
COMMIT: 860e91ed34b89fcea4ce99083f243f64449dc817
COMMIT: 6d463cc6c65bfc6f6b2582e6734fe77f23c8b6f4
COMMIT: 66a3c84e71b7cd27a427657f7112d0bc5f973017
COMMIT: 81276420804ee010fab0bf020d2924f585036ec1
COMMIT: c1f71cb14cfec4556e4b8ac4f56a79b7fa1ecd74
COMMIT: df6659ff7ef4059e89cca75740b8007a378cba2b
COMMIT: 41a3fd28d9c027654820b14fa3b3749d932122e1
COMMIT: 0d26bbefb9fb5175a7ccce22e42ef85ddae5155d
COMMIT: 2d4c7c368a967f8e0a80423689fffda7e4908d74
COMMIT: 7b71cbbb17aa5878132404603a9c37f9304f4eb5
COMMIT: d8ae3a8b7267b9ce58225203d3cd76de51ac8daf
COMMIT: 75f1b07a9abcf2e7ebbb49cdebb42bf199c65788
COMMIT: 11b324aa6697fb440ac161dcb9d3bf57418c3a77
COMMIT: 92f33a6c84ad83ba6f1d00f1d405d3418d058e65
COMMIT: bd27e6052dd2980b17f62e7de909ebe860de54d1
COMMIT: fd3938b89b0611d367c25969589f96582df6fd6f
COMMIT: 4fe47d8edb20cad860185c57bcd27275f80df820
COMMIT: 3185b22d16a780672ffb0204feabee4bb05e1f89
COMMIT: 3dffc170035b03ef9fac89810ec870cf7771036d
COMMIT: f6d001803f91fa5571299b1574dfca799f7078ed
COMMIT: 9c507132f7b4c237f7d6b4733a9b686707a3d7db
COMMIT: a276644c7bb967e92831e3cf0b98002c95acddf4
COMMIT: 778d78ad179e736d118db43448761a023562397c
COMMIT: c7d265f94fbc6acb5f147667e7976f5854eb00d1
COMMIT: 5d4f036d3b173ec5ae8753b63a1cca2d2e6aba0c
COMMIT: 192aca09e83d3f70a712948a7946ace5ee03045d
COMMIT: e696ad8ded6a59e3b6541713c3e1304f042fc42b
COMMIT: e24986bc8c785f233c12b11c71248ab480cbb3a3
COMMIT: 93d1d16a1b30eff877e4917c0a7bf316fb439990
COMMIT: b9e0116d0ab0634b55e71b2b1c77f0aef0b713aa
COMMIT: b06547b3991d010ad4dda6fc197ff766d77bf1ff
COMMIT: 90e294358c4be55e20d615f82f3226bbc6698b2a
COMMIT: 1dc662117fe2a49201bd70f11600bb63e5ec2901
COMMIT: b778dc7a89b5b1961ce4688bb68d5d135a2761a3
COMMIT: 45d4a00926bcb38d3c8713eec0fc2dac13fb04f6
COMMIT: 638f5e912f4b182286006a05d0fecaf876242d5c
COMMIT: 2d19c5721f89a08df18fe9ffb5d0f115b7ae54ad
COMMIT: 065aa34a06edfd7801e3d3c3c7a8e276386ae5f5
COMMIT: 07b497ea207e17445692c3c53c2bceae32f6ea20
COMMIT: 1cc8cacb69f6961285412e6bab1e5f4a4f96ae7a
COMMIT: 422f359f8294227ad5ee6261cc6ba99a265be3d5
COMMIT: d2462ac77ca77cbbc5dd0b55bee23b1841b9afe9
COMMIT: 238111d3eac9ee0494dfa65962d628dca6b55d2f
COMMIT: 049332376f230b82fe92a1415430d0fc51d2a5ee
COMMIT: 1080920e6cc7d579ddaaab9180b15839303780a9
COMMIT: 092e479863060c6539a9f8621c025be46358e09a
COMMIT: 15b5cf0c9b82351d05e298ff8146a854525c3a2a
COMMIT: 85ff3b56185428a89b5df47b5973f44502da42b6
COMMIT: 89df4ddb34cc9fdf127b19751a276aea8296177a
COMMIT: 0476f789ac34f0f6b9ef304b45bcd08bd508902f
COMMIT: ac7bb3e89baa193a4a7bbac8bd3dcd34f78a2bd9
COMMIT: a1851e969ca5934e13fb01c4dd33588c10f2f76a
COMMIT: a60166133196da0ef7dc4b9e865415b51bd5837f
COMMIT: 8e3146417dfb1eda319b54c47af9631d8bd28cd5
COMMIT: a430695c747f32af387ba0f110a99910525c6191
COMMIT: 7fe5103bb1f633ad7bc51d338c3b5df0195e0f10
COMMIT: 14a5bc45fc32eb377d60a8eafa3527eb77fd03d0
COMMIT: f62ee21120ce233270ab5205ccd03903058ba124
COMMIT: ffe73e23514bbd78fafb420bcc9e9a36266e0044
COMMIT: 37bac0939bfef819821cb83d886791e348189c32
COMMIT: 51bad9965e195fdfdfad5bcda365945ba0dc4b74
COMMIT: 50c94411f97c60661e949043ef756252f6f55f98
COMMIT: f322ed6f4407d912e7bd065588a0d87eb6c7e0b8
COMMIT: 612948135f13dd90193e53b6ebdbfd1250ddeb23
COMMIT: 16293f06c0f482d835be50753bf796ccf06fe4d6
COMMIT: 10ee000b1494ffa8c10a572af578e7d7802f2d5b
COMMIT: 0f417caac58203a11e1402977302056a9784f65b
COMMIT: a9835e7bbbb9c7d7ddfc07a221904f89cffaa56b
COMMIT: 02d85657acdab2d6c6908fc71e76eaf88b34d06f
COMMIT: 94cf7a8666c8555024f2a374713e41e2d51fc68c
COMMIT: 98d32c6f7c05a4b93d369d45029fa028f39200b9
Match patches:  7991
MisMatch patches:  289
!! Done
Project: projects/top_C/libgdx
Start time: 2015-11-18 23:25:22.423335
End time: 2015-11-18 23:58:56.846978
Process time: 0:33:34.423643
