Utility to process github logs
Going to process projects/top_C/openFrameworks/all_log_nomerge_function.txt 
---------- openFrameworks ------------

COMMIT: 5bda9cfb52e63877c524dfa9337f2733123adcba
COMMIT: 54f4c82ab68d61e65ca7d0e901d5819be5c80b8c
COMMIT: b8ca736570b7bd6f221438aec6bebc408af96af3
COMMIT: c282152a006cdb0c3a1f15918bef9a100203676e
COMMIT: 0284f53f547b6c86a7ded1af7baed3f7020e57e3
COMMIT: d7ee57297aa5e79f6e81537bc2d8490b0c11be1b
COMMIT: 9273ec380863c4a995c9e1f6b8e3be34e6050e5f
COMMIT: 0e4e8102312864ad95caef385273ca486d7304b2
COMMIT: 68a07d44db357cd52715bf9343973bd58b0a2b68
COMMIT: 3e33c1de09f5223023bf8137d726a26e2efd1985
COMMIT: 33d84a8b766d9d12751246b0d25c034dbb70d502
COMMIT: 36a644aace7987f2c9bbdf18400731f895c299c3
COMMIT: 6339eb90ace99a6cde0199b33fbe7489fc093def
COMMIT: 7001ef9a69ca97e76c0252556577bfdeec92c4f2
COMMIT: 715d0e79e11133f17fb1b6e75ab0051954aff19e
COMMIT: fe2d53392ca7963f3799235a8ec3f1767da4c4cc
COMMIT: 472657510318bde90a47fc41082b23eb2c4e1207
COMMIT: 187b8f0f56d54df300fb91eea7f685fe1eb10e72
COMMIT: 4d7629beeeb4255083a5699e1007ae19713157cc
COMMIT: 6acb54416e4af92b0ecc58316e882034ee201c47
COMMIT: 4893007971bb70244882b37b99a5beeb2a8ccde7
COMMIT: a7ce4247b7312ebad36f4750133b4d1e90f73f04
COMMIT: 721db9d4cb678ea6562fc6fb250430a9aa8234cc
COMMIT: 6f008bef82821d1632e390964db8e4e802a0692c
COMMIT: 5168cc67c0ebe374f56f9954432e4c93c856699b
COMMIT: 5b392192dfbc12cc4a7d745a593b66d110398157
COMMIT: 5b6bde901b7522b24da5967c929893c744277d0b
COMMIT: 2728ffb10742726c7e563f5172a5cefaf492a3cf
COMMIT: f2e909d081daa3fbcaa1a02d9721736d2e3e2092
COMMIT: 4bbe5ed6f2e63eaecbe5b5ab5f3b4a90a2e05920
COMMIT: d48d709337739893a12a852cbe9b2a321b3719a2
COMMIT: c7a252243a078b350e9739106443d0565811b516
COMMIT: 58e3cb3b048a40f4fe72a18e1779c37b0640232c
COMMIT: bfef6210dc678562d27296748abb35831333767b
COMMIT: 0b0d5d456ff99e120a427dfd918224456f976b01
COMMIT: bb21b29c7e2795de0e2094ae73e293654d61ea38
COMMIT: beb98cceaf9951c4794163380eaa6cd8575ace14
COMMIT: 086298ad633b0c104c6c6be4834e27da75ddfede
COMMIT: 04f319634456f2c1a3f95bd9609cf568159178d1
COMMIT: b41dc8403140d48a9beacac1e821b48e9b48fbe3
COMMIT: fe4c3ad245a735ea1808819418fe3b1c1b294990
