Utility to process github logs
Going to process projects/top_C++/Polycode/all_log_nomerge_function.txt 
---------- Polycode ------------

COMMIT: 8ed65a36c5c3cda7893738c4dda8cb03ac0fd49d
COMMIT: c5b4e9eed99dfa95eb84be3f0ecce94eb844e19c
COMMIT: f4b9dbfe73c7ba7617a6573ea46263a189baa950
COMMIT: 703a2860138eddca103ecca8771bfc2f9e39ca27
COMMIT: 09c2adc56bf5c7703b4111c539e30e05fb804060
COMMIT: 2c4f64765de2455e197b61cc32b59b72a1ec46d8
COMMIT: 33e1e9516f1cab93498cad1deb3f1a3973f88a8c
COMMIT: 9ccb1291c841c61d5383648c6323069cafaf80ab
COMMIT: d69a199f2cd3aa3a82eb609b2c1bbe6ebefcc478
COMMIT: 47148ce4e0ffe1bb3f4da76430ad12e6153e6a2e
COMMIT: f3a8991475b9a442458df2bdc1b54fd6c03571ba
COMMIT: e014f65a05c6303ee087ac044fdfad9e1cfdeb2b
COMMIT: cdf10e8510dbf7206ec5ad91a5ccf3683d046298
COMMIT: 439fa2dbd8cc9c92190f33583c4aefecb5862fe4
COMMIT: 23cb86ad3a252e1346137382f4531abaffa1351b
COMMIT: 41908812e28d73f1586a42a2b08b4ca070710516
COMMIT: 2cca68065bf4cf45e4ccfafddece028e0754e295
COMMIT: 38d063aefadbce055f8445a459db9248c0d630c1
COMMIT: d92ecdb188efdcad3ae5d715b8035e53af875e0c
COMMIT: 6ce695a414b45747f39f43a5d15c8c67b8eedbd5
COMMIT: d33269a3883186767378b9d50d8c027cfc2496af
COMMIT: 8654b57335d5c1104bea97c4d66e307c4bf34c48
COMMIT: 0812c68c92b88fccd6f86402e6fafddba4131643
COMMIT: 7834ea4719dcf61b79e76fe5307aae2b07f8f6d2
COMMIT: 52a22c0c44415fc9db3311d3adac6e774d73f330
COMMIT: ba879693a668d8044f4c261607bf3edad84cb54d
COMMIT: 148efdb33a6137e223a1845f95f2f8168af68184
COMMIT: 07b4f6c9c1e0f85f0fd87146ecc626a896b3b6c4
COMMIT: 110ca74a1d4160084cc6236a93e27f324f3cbd6b
COMMIT: 15c00bb2f0ef9ad9015c4763ba77d1d1269f56db
COMMIT: 42004fd032b01525578655085a6846554dd28eb3
COMMIT: ee187d0d361156b9a0a0f17356788829e1edfd7b
COMMIT: e3d4ca2c6639a655de759ec9baa9795c0580915a
COMMIT: b514a35036ef78fc82542488dc1ac11fc6ef9370
COMMIT: 13454ea6a124e63b10b82b42552d6df923b4b5bd
COMMIT: bfc2510042113b1c86e1c180fe8fde2440858a11
COMMIT: 00523995f2d0f48fa5b523885714873a9e77cec5
COMMIT: 8784c7eb6f73ed6178a10b3f1fd2141d84e17359
COMMIT: c75de951b9ad6529aa76b1682755f38aa11ed726
COMMIT: b88112247e4825ecf69e67d7972b3ad98ac4920f
COMMIT: d6771c9d8fefc52ad47f76ab48c44a03bfd29dae
COMMIT: d04287241dec4fb1ca26261098c22ab0ee807f5a
COMMIT: 7e5c38fdc502d71f015c1231b9b5138e8bc33e4d
COMMIT: cef68a6de23b506ea87786688093324b1a649a93
COMMIT: 839d7542c338259c5c4821762be0bae541e420ab
COMMIT: f2639bd9977317c6b884112d5168abad60e77628
COMMIT: cdf57e0f6f6da9bb68e4515484b1c1698d749be6
COMMIT: f4bec10b9a5f3ca8d4808912a0bade7fbf50271d
COMMIT: c103da7aaf960fece24cc5e7e66e0d9cdd21315b
COMMIT: 45692828a43d216f39f036b399a7ec92b4009c70
COMMIT: e6653dbde38c2de359ee2758ff6d6dbda0c5aac6
COMMIT: 4c5018cda4b7111b356454f6f6072889d39d55ce
COMMIT: 92e34b684a16698ffab138c69bd2f214ed11743b
COMMIT: 9ccc21b6e9da08ccba9c1ce2de7f3cee56245e10
COMMIT: a91d93a10e2f00ae1b69444dd60d0beaf0fa47d5
COMMIT: c2e34bec4383b8d70e671af912453dfdab5fe1dc
COMMIT: 83c2f0104de4933188be42760fe8e41d087c0f70
COMMIT: dbebcd2a7723a20c1b05bfb586c5423fd0411289
COMMIT: 56956e3054b8a9ba8c4babe38b0bbc6bc492ab5f
COMMIT: 69df188c23f38b65973be359a71a86066cea9603
COMMIT: e5d65bc2cd19ec41b230ac4fa9daad904368ba45
COMMIT: 803f6af06ed8f99214a5f532e689375aa1290911
COMMIT: 84b00735e96df626ee7158227d51b8bf251046fb
COMMIT: 9103d91b4ad108d8ae8a6df4e84b8310fcdc2fc0
COMMIT: 3a359fa545c6117253436352f5b57f2269c90fcb
COMMIT: 4cb18f7521e31548d9d8f349ec3a5dffce3ee49c
COMMIT: dffed96631b6ab8e4adc09229647eb7d52512b16
COMMIT: a63db488f3a2c59c88dce2d8bef5daa3cdf367b1
COMMIT: e52dec63499cafab6d3e7dedb8dfa0d7a4b5ee02
COMMIT: 5345dbe0f1b51f93df30a6605a6c615582165b84
COMMIT: ef1efb1d3878b52d48fd3661eae242e922ff6dc8
COMMIT: be5e070c9bee322124eae16cba40acc6ab7475b5
COMMIT: eccff2aea88860a140dde414714f7da32c96f632
COMMIT: bf60d329962505d3b03cd7c5cfa37b0bfa732aa0
COMMIT: 48539351f2fe9986a0e11c0e723f1e567c8cf88e
COMMIT: b3568cc2e278c297af7dbd43760dc7302029557a
COMMIT: e6c0cc2815969b1634696d7715a8093b5d087676
COMMIT: 45c177b68e354b9017969f57bff541fe1762dd5d
COMMIT: d204191d7450d2dde15f7066c49c6601c4ecc50d
COMMIT: f7d1f1ee8dfdfa3723bd8218e100caa554b8fea8
COMMIT: 8049978fd0a8dffa89e113cbb5467940f89c0095
COMMIT: 9f1fe955c3bf0f3d8b29f30e8183c21a7f82a547
COMMIT: 018a374202545e06e1a5bfc2876c6efef2b6b98b
COMMIT: 14a2d4f2659ab1e7dd2330c11feeab0f768f66ca
COMMIT: 3b96709e667296ce4b6304a4284f0fc7f1211872
COMMIT: 4db161b49bc50074cfffac27b76b7bdabe76320b
COMMIT: 0690417d9b524befb71c3864b8bdf34b79f6d5ca
COMMIT: e2d514f976110673e7923730a2116e14a19cd9c4
COMMIT: b45e295a6c72fb7cd43ab358faf24d74674dafda
COMMIT: af36a2dcac486ebeb2a5e0a66eefa14403fcba8e
COMMIT: 651c4e600c785a16247528c6efde453f7078412c
COMMIT: fdb0de9d819a7ed78877e397a961831a83774a5e
COMMIT: 8a5f4e36415fd5de8193bb0033d6971d606a4bd7
COMMIT: a6169337652272870fb56d2a61f55b8c6f04eb97
COMMIT: 264d34cc94ed3098709a643fbcee866b72c3d606
COMMIT: 97eedd801cc1e3fd1a8c220c15d4840e696e8a1f
COMMIT: 4a3c56119f1f729f0f13f7ed6ee669202ccad039
COMMIT: 2622a60861a81ec305c45feba1b9f6e24dfeaf1b
COMMIT: 39028aba18eca6668acbfee4cb448b73a3b3f32c
COMMIT: e16cd044581d0af633c78e579774fee590f1e161
COMMIT: 722e5a458a9cf64a5a06842632f374f142bbfd3b
COMMIT: c2963c38be320c39d6875e101ec09fb1cfd88214
COMMIT: ffe0ba5a399f084f1ebe8d5a58c823abd6b8e444
COMMIT: 8ffa458e82fd3a1ef63d1e0658093f1806eb6d78
COMMIT: e111cc163d3827eaa81f76998943d7bb0ae06ffd
COMMIT: c99fdd658c002d18017b79712dcf7dcaa9f16d7c
COMMIT: 15dbc3e0b218d1a7aa7b24fd9466775d89058cf6
COMMIT: 4205ef20a82ff648ca76f949e573077f145fdf95
COMMIT: 0bd6c237c6b950c9a73b86c815c043e05f65c138
COMMIT: cd7aefd2d96b718d34c98d9801a2e969d681dc0a
COMMIT: 871baa107f57cdd8b6843eb379929dfddca099d6
COMMIT: eb7251a394f3db5f99bb743cda1347e6762d0da7
COMMIT: 568218f268954beb666aaba5a1c44a1a2e15e010
COMMIT: fe21b9fa920c22fc46fd1258e931c654e2d960ec
COMMIT: 6b29115c1e78c615b87d1cb345a32d5cfd95d6be
COMMIT: 489b0ef55159d7ff54bc50905d5542aac38e979e
COMMIT: 48b186021cb10a89c214e1f797bc2f9e98f64184
COMMIT: bfd0de609620fb7608ef006a277e3d408ab1e943
COMMIT: 74e0c2c4e3be484f6801bc5b47bd2d0484146929
COMMIT: 2af6917d67ecff6d5b1a53c3a65cd8bbf746a254
COMMIT: e0228cb5d3fd470c1fa9c181ec5e1e5622889bd0
COMMIT: 78a310b2b53e9ddec50d55dfc7ff7356a7e2e861
COMMIT: 6cf127490328e0fa456eac78d8f1f3c3b42d5f53
COMMIT: a46463fce5a58cf145c7d680b9f2277725e08b5a
COMMIT: 1671a07a88081356e4bd0e35adadea0f98b58a88
COMMIT: 869709885e3af3d8fea108114d2c58c1b4cd2f22
COMMIT: 509b4111442c5e2acc56ca7cc8cef857e2941913
COMMIT: 30bcbf7fd2583c67c2248fa970ac6b55522bf012
COMMIT: 49763db2466c71b8f00aba71575d563619b0dc34
COMMIT: 0d16bb8afdc129d79f60a6b622fe2cd7f6b5118a
COMMIT: 22556e056d95b714c4ca02108be45cc221633784
COMMIT: f6db02c4990b076dc959664adadd007bd55c87f9
COMMIT: 3d1475dcb7db3095294030b6bc620e34b6b7c6ad
COMMIT: 94423a0646eb3f2906577fbd47d8d3623e0c5eb0
COMMIT: 8a4923f08bcf7c74d44365cdb13d39e981e8d985
COMMIT: 289d46be7b2af03b79181b6f645dd5b5ae0e5b72
COMMIT: ec27b396e7fc6a0826b429da139d8813760302df
COMMIT: 88c42a25b1824a5ecedc2410e8159dbc67ca9a3a
COMMIT: 0ed9d27bda1c1650004f4314099569544a3e2826
COMMIT: 2b14c3ddbf036ee2b99893514c2f57eb2a0e9111
COMMIT: 160aaeedf5bf6e98ee676b92632a365b0c25785c
COMMIT: 96b724862a75e8592824d0d1822ee7f8f19894d6
COMMIT: 8a2b71be9503b126f6b6e8e703f8f15ccecf833c
COMMIT: adef34818a490711568768fae5e6926a1aa1e064
COMMIT: 543062ea0c418a215025d3a9b794a15b411e0528
COMMIT: d2d63bd2d8e6efe425fe187d9d3b5403f43ea599
COMMIT: 06a3fab45c2f90c079c8b88ed1860ebfe0ae5403
COMMIT: 17b41fdfc5c687d0e449873395e38c19a0e0d520
COMMIT: 5baf7dc815af944dfbb93bf54b566b56471d70a9
COMMIT: 4a88e774b012dac2c5b192326879763eaa9f18bf
COMMIT: 4f4a0f37b52d49df0da281d91cbf8092ca49b58f
COMMIT: b1f307b00c7b6425c98075cc19ad386b98c2a224
COMMIT: 3c51a5b2a532d13d75de95b6420d0202e3fae133
COMMIT: 9ea31cda64e01bb8f8ab6b3e2f932f24e4959c19
COMMIT: 722a6bc0953b414e5f70dbde7c0098f86be38e44
COMMIT: 8127c29e29c4983d3f76100d48027e586f4cb400
COMMIT: 3c419a0c53662ab01f62c25e794c72b26412014e
COMMIT: 6478b258efe15f492fcc668e20c990b38c7e4628
COMMIT: 56d250823c750c230c7cdedc8af5d3654a97c441
COMMIT: 02272793afa8dac015c03d77f9e16f584f69b818
COMMIT: 77571cf6a5986ca5914312c76a88b5b23b4b21cc
COMMIT: fc7d880132cce558f4ea7fc5559185cb45e72d66
COMMIT: e01d62912b70af26d6ffc23bcec3e8c911ef8413
COMMIT: 892aa1131983d4758be9e749d28364840ec88dc2
