Utility to process github logs
Going to process projects/top_C/numpy/all_log_nomerge_function.txt 
---------- numpy ------------

COMMIT: 5a3b0abf6da4a7357e24a8243bee14b3cc7a242f
COMMIT: aa5160480e8571200382dcdaf2c475f3967b9597
COMMIT: 7add97bcee029ae5269532c33b9531ebf26f89c5
COMMIT: d62c4357b263e8b0cbae9210d5bbe467ddf262b2
COMMIT: 19b2be5292a9be7fce8fb8715b1c0fddc52d96d8
COMMIT: 390497831094034ad4d0e27d7a0f8ffc6d743542
COMMIT: cf26fc9a0750782c208b9b116c4f92ca20cf451b
COMMIT: 61d7a10b7d244e83413747a9f0772e5a50236dfa
COMMIT: 1a977aca329332bfedac82fb17d50984e0097533
COMMIT: ea8975718f7d275dfa2c91bf1de8b3fe6d792d9c
COMMIT: 18eb88b083779564250cee0fe7a77ae771f996ed
COMMIT: 460adc0dcbc8782f81b9279a6f7917291d038ee8
COMMIT: cb92b934dcd39d3bcb176ff65b31fea1dda4c534
COMMIT: 726937e3a3c17bf6253bb78097cf9e48484b8278
COMMIT: e98811675a61def0fcf255c6994df874a3dd55ea
COMMIT: 6bfd6d40d7bac9d4295c88ec59b55e7114c77d3f
COMMIT: cc380c58f10153bbb07ef4ca75d78f2435dd5cec
COMMIT: 7e0cd9a45dd81a84cfbcfbe957ae69c5d9ebce76
COMMIT: 1f9d4d2613d7c8bccf7e16720e8d0fa87e74e34a
COMMIT: 6c4e64204df6f336b617ff0447d0ea104cdf1ae6
COMMIT: e067e6b0cbdc45cb0ad4073b18cb18492810b035
COMMIT: 4dcfcc5f58140c5f09fde8fae90720e32f7d3096
COMMIT: fdb219f58740748229c2142c5643e79ae1c27d69
COMMIT: 1058717613f6932d37744f192c35c803fa603724
COMMIT: c513585f5a5eb16fc5d06f161de89a5989f3537d
COMMIT: 1b83d85bc4cfaccb12295d993c5a12e5c4029030
COMMIT: ddcb49e5f779a9e42356914b9ec4162b722d4ab0
COMMIT: 1c2ac8fd02cf6db60b2e15ec994b8febe025424a
COMMIT: 7bc5480be36e6527dca34a303b6cd6411c345b05
COMMIT: fd4bf676686ea20bb46797a665af36d974fc8415
COMMIT: 9f8771accdc11a83dc928a99bd0ba48fe7bcca89
COMMIT: 0981867cf1d7b5adab4db46d601365400ed52892
COMMIT: 58e9e27c0c110f9be1558a53fb547dc1abc76fa4
COMMIT: b8a6eb61ffa3199ced987d44aeb331dcff299eb7
COMMIT: 9dcdb57792d9b03144b55ebe84bc97b32af6c1db
COMMIT: c8975ff262292d760b533bb433de50b686b15f9e
COMMIT: 6a6d53c962e7455481dcb0899d46217549f76e65
COMMIT: 2facd5cbdcaa08b61270c0c0760a39cd03acc007
COMMIT: f65593dd69cae9b0fb30c06c07868dafb8436d11
