Utility to process github logs
Going to process projects/top_C/cocos2d-x/all_log_nomerge_function.txt 
---------- cocos2d-x ------------

COMMIT: 371b9f89fa5d050bd60fe5f103b8010cc41ceacc
COMMIT: 7470d1476b06d782e78ce460842a207bdd129c89
COMMIT: 959b8c2fadb1a88b91263e79c8807944c40b30ac
COMMIT: 8e61b4622ad024ed2945ee5d7f9156aba65bca83
COMMIT: fce4911950b3f0df1b7a626e0fff0e5da4a0888b
COMMIT: ccff8891b50bcda6700f7af1f5d045fbc3209b7d
COMMIT: 2543b10e516a2f4e1a0ef9ff438594b0a87a5424
COMMIT: 0dd8d0c6c91767b8baf40a6324db60839cf10a47
COMMIT: 778875fc358b9d60b4ac6cf1a60ebdd6178e5361
COMMIT: 01fadbc5fac0f1c945dc54d0a34077f2ffdda732
COMMIT: c54a3fb68641781cb1cef1c9503558d8b8ffc234
COMMIT: 94e2038eb4bdb828a479ae268656ef6a781e056e
COMMIT: b2e80099ffbc70ddd9e97f494b738f50192a6986
COMMIT: d280b11b4be1ff14e5471464067abac924d4f3ea
COMMIT: e7512b5805b00fb1bc0e010bb08dd042cb4149f7
COMMIT: 653bdab1d66171bfaca2e60d87ed3eea1bfad2ac
COMMIT: 9cce2b5ba52bad5e0574ccb3646bb0a641473d01
COMMIT: 148ec6b1403c227b75888d7e5aca3bb7cf9dfb68
COMMIT: df8d9e5c2840987335ea56bd1b9bfe2b8f3562f7
COMMIT: 8d8e9f0ac976d04bb86a2933ef074616a62de567
COMMIT: 4b19d2192bac263637adb9c4037324821ad3ed7f
COMMIT: c3d1df6570289c9324204bb1708f3d6e74ab95a1
COMMIT: b010d9249eb4be3672a2041456ec524def389da1
COMMIT: 35a40dacdc94701752c584cc58206cdf6a87b36d
COMMIT: 856d8d4cf4ac6944f4b124731874fec68a416ac1
COMMIT: 990672f62a18cf99a3ff513a817079d15dae1023
COMMIT: 582ba04f8781f4885d47255100abfcd32ac52887
COMMIT: fed30615fd61b8fede886ec394dad95efe588764
COMMIT: cfab4d83ceceab7a8dc6072d2ec0918e3b0060ba
COMMIT: 152eb495b42f64231c403df551984d25543a557e
COMMIT: c04c331cb75f372c5c709124d436b754991e4d64
COMMIT: 03141a96174c7541dc7767d076a9c92df777301d
COMMIT: 90af5727bbe99b3e12493fa2eaec5fd8bec6c84c
COMMIT: 6098329b52946a7278fb9ad21eb625cfe9cb2e41
COMMIT: 72827aad027c207a98f8cd8f16fb8471b1c4067e
COMMIT: 153a5281cb0ee289df166a294847afce48a8d58f
COMMIT: feeca986ee60a4842807c7ef77bb1283009938e7
COMMIT: b5d86b5eabef8bbbcc19740d2d49bc10d1f9791c
COMMIT: 9b63d2d51668b8c8bde305a583607bbda783347c
COMMIT: 8d810fe171c69978427346a66fbbc8ba05a250a7
COMMIT: 6c9c15d7b15dac4474c467e961ddac838682a763
COMMIT: cdb3ee94781f95930807fdcaab50d0da540bfbfb
COMMIT: 238e24b86d19839af2870edd70cef443b4d94c64
COMMIT: c6c29fe45991831ca10bbb5309dbc057b33cb75c
COMMIT: a72e1415f3761c37d99483f81bda428194780c79
COMMIT: 2c6753f25bb166803651e636224c92fe7f1c5e4b
COMMIT: aa869f4c2180363064a957e2894e3aceef85b372
COMMIT: 249c53345aeef7ff16cb30c79223e7f26cd3eead
COMMIT: 1e2026365584c9067228e74a69befa637d20c152
COMMIT: 5bf643fcbd6c4b3df621723fa38a881b70793509
COMMIT: ba20e1086a53c3ac0c375f58a9912c2c988cf4e4
COMMIT: be65b65caba978a8c8bc9af5dfd7272e545a2b47
COMMIT: 4e13ffc23c6a313f40de63255cd2a04edb1054f2
COMMIT: f828a54dff9c76d7719790f251e618727f42a347
COMMIT: f9095dd751967390517e8a17b50ef28386f21895
COMMIT: a26c5cd9ae5a41ef077f8d9805d72aaff7275613
COMMIT: ac4c6e887dd6ab1c478678235baddf3c3aa7779f
COMMIT: e784720ab2ca99483f96a9827ddc44f8181b2092
COMMIT: 43866ad0a5bf5c43700bf6ec3729b0354c6790dc
COMMIT: a0ec913bf225aef495ad9237f69ec94d07a993a5
COMMIT: e9b9235b65faed960f6085059e076936ffe7680a
COMMIT: 9e762454e29b473c1b419c7ead2d39073a6f6b5d
COMMIT: 39bd889d1b8a8cdb1e2000d7e24b559c57f2349b
COMMIT: 2063516150731c238f50ec8851f25c9a81c8e6ab
COMMIT: c0dd0dcb5ae386b155a16f0fb61a42a8127a16d6
COMMIT: c46e84f1fbf303b5eaf13ef7359e59444b5b2487
COMMIT: e32ed628054ebc8ccd1611d49c8b9f8ca86c1968
COMMIT: 1bf5566f8ac084c7b6b0a59706f4b97fc3ad35a1
COMMIT: e111285bacf254915da5f207f200b90640980c31
COMMIT: 42806980c25fd11938b7bbdd707b8e5da8d7cae0
COMMIT: e0021292454621b1ffcd56e9c25d690c01ee14cc
COMMIT: 79d95ab0e4889c2f5f2f69d87445efe17a39c165
COMMIT: e441aa86cf54a20962cc781bf3fea8d515964cf1
COMMIT: 5d0ea1c2e603117003382460d3f41005bee03834
COMMIT: ae0c1db0826c7bf0865f521c4ca950a628aa5d76
COMMIT: 38b1538992c239029bed8346db98fe352039072b
COMMIT: 5973f71109fdd0ac16152e168e774558044485aa
COMMIT: 78fc3750d88644a9da10d73c4539acad6657e6fb
COMMIT: 821a1122fe58ef8433e64e6c65f2dd2cbeb5b396
COMMIT: 72192ed3263214b54cfc9983d8f374818796b1f6
COMMIT: 5bcec4513652f9203b9617b5acff6e053202bf2c
COMMIT: 3ec3e838fdc74c4949bd8922f42067eefb40dd48
COMMIT: ba513705c9ec9639f8030856cffd4821f6b2188c
COMMIT: 8720820fd8508dbaa054e1a5fa6548df7dedfd63
COMMIT: c4f918802dc57968d8366fae53ae45dd46fd173a
COMMIT: 269553fe4408c8e3d89662c98e57c02edf37c5db
COMMIT: 02bb22e091292b491aae58816ddb0bb8a7e8cd44
COMMIT: bd62bc53f1fc57ea162ed40d38486556a8e6823d
COMMIT: 1dfa08b421bda58fb9fc9d8ecbe5c27ccbef8a3b
COMMIT: 485d79c2d9f46e9110005c1a623ce206b11ae3d3
COMMIT: a8756a3d466c2a59b9a35238019a2fd9adcc2ad0
COMMIT: 5799e41431f9d1e1f14bd52212083e8abe1de262
COMMIT: 93572a78503a9571609560bad3b1d7bf2fab0770
COMMIT: 764a0557c37bfc07c23286e0ccbcb009af5bf5e1
COMMIT: 8fbe1c6abc380c0bc775c0c7ce40203698812809
COMMIT: 0e3b846496a5a542f282bc2fc87fdbde0530f682
COMMIT: d0973d3ddfd27646f23f4ec1cbc6864f3cfb9975
COMMIT: 229d88928fb922c83d1a393372b9b9632352a5ae
COMMIT: 5b43dcf22a43b4488718152880a8780e724e2b56
COMMIT: ba5c81c0fb2bfd5cc16f79820aab01df46dd3006
COMMIT: dcb58a88c7889538288dbbe2f9f2d6f596c0a595
COMMIT: f7b7d5b341e87fbb091f59fbdf4751ecba6d409a
COMMIT: ffcd690aa1ddef56ca67972c50f55b86af809403
COMMIT: 5cd8521315bceb4737565bf0b0ad351809041f20
COMMIT: 1486276e57c63db6bc58b1a58d0c0fba8447a507
COMMIT: aaad9d1557fbf7250f3f4ebf2b3e091c2f93358f
COMMIT: a4558e33631773554cfa0530172d688647a8c86c
COMMIT: 288295004751122b5ac6b2526054e9ca54d7973d
COMMIT: 459812f1d9acd303ab5618436d8378ee36c15d97
COMMIT: 38e2f93d2098b789b43ed8ea2ba38cfdd905663f
COMMIT: abaaf84d97b402a55cec9a1340dc7d2b09d07b9a
COMMIT: dfc2fd70da81e5cd6ccc678d7282223e369d3dd9
COMMIT: e1c64fdfe21dc556a8cc061c835c507bfefa61ed
COMMIT: a8eb8820f428294e70e3e92c0d98528dc376859a
COMMIT: e04b56b54a422247d4fc470047d44ec361e55a4c
COMMIT: 98cdfd6d93004e4b49dabe810c4c85591746a6f7
COMMIT: 1addea0607cba95181f3d7cea86445f4c1342252
COMMIT: 58983581109b9a15d02ea7b5c751f652f3cfbe1a
COMMIT: b343c0f1bebda39e12b7ea78be7c0fb04650cb15
COMMIT: 4f8e688c57ae5e20b9d29952ad82632749e35f96
COMMIT: dd2c656a793496a7cae56ec4e70305003fb141d4
COMMIT: 7da932f7680cd05dab8878afddce8c8ea10a6197
COMMIT: f6945c8cacb23387dce3b6c850e192c8a1c0a581
COMMIT: e6bf1f5fff44fc489e9f4d1236d14fe692f97d78
COMMIT: a23243730b2b6ea56d8bbeceb5d432da0ac70493
COMMIT: e78660223f44c3d3c21e1259884ef362a4b3f309
COMMIT: eb7da3f014e4a66b7766096ab2553a53d795718e
COMMIT: 953a5047b8adfc1251f440511726dc9d31773195
COMMIT: 7e6501e4a8a775236f311e8557ae07709d957bf4
COMMIT: 098cd17384ce3d33d93bb8d276b3fddf61cf4167
COMMIT: e4b9cbc2e30524799d8d0d3ef695810b84255afd
COMMIT: 9704aaeb0ab37ab3cb37cf29de775cbce6958fa4
COMMIT: a1eff25a983618dc05f82b92b17b0b4114c6099f
COMMIT: 8549be104c550db565a19c26b09bb9a88d17d984
COMMIT: ab4db07f26b03919e359e75beb452eb7190acbb1
COMMIT: a063367568f8979d5683bacc5f7bbf36e7097975
COMMIT: 00cfae3adb92aefabf4c3c665407242f604b777c
COMMIT: 2a2cfddc332787886da0329682feb241609461ae
COMMIT: 0d153c6fbd4721faec48b9301b6bef39fbe90398
COMMIT: b9339bd4013708ae78a3b2e094cb5d5db8d21a7c
COMMIT: 4d4f601a9888e7709685b96b89c97c8729e54b45
COMMIT: 6ce80a15f3594e06ac884708e6e7c03037b8cc64
COMMIT: d9a4d87ea450111932d59c3ae4bdd112d895c3d9
COMMIT: 01897b06739824eef528644ea4d3d82a3cbdb5fc
COMMIT: cf36f05c2d98da468ab14760f85e9c1e6e67c748
COMMIT: ee294c8627213448233faf7c2b113a17edf5e30f
COMMIT: b0760a42cbd99ad123ed0e152179c03c04e10dab
COMMIT: eb26e7a3487c5e5ca459d74c03f16d9d5d9ce661
COMMIT: 4c02354b947826e9aec6b778c2cc3882f4028f66
COMMIT: 976aba99572a7a82cceb5e747cac0206a2d24f5f
COMMIT: 5973703785f0bad7203848e1b68b547efb8493ca
COMMIT: f9e5f1ffc3062646b7f93def789d31ff051c01e5
COMMIT: ff3bba937a1abbb4237b7461d1df925a6f22517a
COMMIT: 383d4ff25517f0fa4cfffdf609c4dfca2d2c38be
COMMIT: ccaf7462447412343f54d0f0367ebbd8850bc2fb
COMMIT: 0cd5b1fbdefcfc79c1b652cc7e892021987e36c9
COMMIT: 6d48fb4137eb6319a911b971f84ae3878587f62e
COMMIT: b18523ce2854dc7ced6471b8178fb1b82ff9096b
