Utility to process github logs
Going to process projects/top_C++/node-webkit/all_log_nomerge_function.txt 
---------- node-webkit ------------

COMMIT: 74f3f73606670447e2ce61eef30f53ba264ca5cc
COMMIT: 6ea46cc415440bad46d8fae286a12574facb8cce
COMMIT: ffc7c2668f8e1cb5d6ac5f29aa8aa7731f3b6192
COMMIT: ae5052a94f7277440491c95b079ede8a375f26e1
COMMIT: 723a1990bbe0451753c32396795423357080fe69
COMMIT: f494d3a801802a2e593cb6d289e84a7fdf9be6f6
COMMIT: 2dc09e140a0b6b80b17df3a0cd47c4f175b33c5a
COMMIT: ef718e4cd55c351c1e6631783a00503d61df28f7
COMMIT: 1421ea5965c2ec6e0242f73dfed94963a023af9b
COMMIT: a1d382dd4ae50db69c0430b90f7e81faa75edd63
COMMIT: b37f7f4a2d5e6b4875c4326390548ae00c72f322
COMMIT: 2730a4a286c57d6e779c79a21b7fc5fb17621969
COMMIT: 8e3624e99909e4bef79ddceafafa76db85205a5e
COMMIT: c2ae16e268dbb4915bb0c88a6dc2e9730b4be682
COMMIT: fdf8d454976b9859bf77638a01b884b8af3c348c
COMMIT: d699ce8cafc0066e4174a1d282d73ad68d432566
COMMIT: 590c92239e692b7bff3d2d4e1abfcddb01d65b4d
COMMIT: 314cdecd516b78857f1276ec2dd21456777e3a98
COMMIT: 05a23919d957802cf59eb2f8c3cdf3f410622501
COMMIT: a36dede00cba58ea037dc3e8731c5ccd1c9d2143
COMMIT: 773b4579a5cefb00c061820315462b8a6be5fe29
COMMIT: cbf713d7cab9f34a5fae229439f6db348e101107
COMMIT: 3be78bc54b866e2edeccf51baa5122f11c4d46c9
COMMIT: 27dff7cb3e2bfe90795ed40a3c5a7af07019f3c2
COMMIT: 977a1619baab74d9f589d3da398552f5a831ee45
COMMIT: e8893a7b0487e73f6772917f8443747b9b3a0271
COMMIT: 7074173fcc910bdd0a6b4bdee0bc333405d2f8f6
COMMIT: f903ddbc332be4e4b3e1d7c0c775c2349e6d09d3
COMMIT: a5a0b302768053d325e706a72726050e0306b9c0
COMMIT: 8d55d5186f7188660f1e6cf9c70fb569006afa2d
COMMIT: 75583278d6e056c59e5acca60221da6f73756624
COMMIT: c4859f72ec7fc660edf8b10f52591490d6946829
COMMIT: 667191cf0bd11923614fb2b718b1814534852ac5
COMMIT: 1a2e344e9980c64417e41541d26c4f36ec368685
COMMIT: 25420116864d22acab586edc44227a49369d548a
COMMIT: c5fd01ef08ae774a5e3865ec4b01e75c77faacb1
COMMIT: e70733ffb0be7ef00df9c838672ebe5a35852973
