Utility to process github logs
Going to process projects/top_C++/Torque3D/all_log_nomerge_function.txt 
---------- Torque3D ------------

COMMIT: b444cabe4d7fe3a3163b22c0eeeeb034922fc1d0
COMMIT: d49018df63186b0779b71e075a40f184bf0c8843
COMMIT: 8ac10e42b0d07ccdd0be81a96517632aaf72c9f9
COMMIT: bc230be8a26489bcae5e392d7cf3b4ffa295da87
COMMIT: f166e5286df95de73c0645a309c23c79b68b1430
COMMIT: f3e737e001c7283c6f5feaff431c7299c79ccf95
COMMIT: 7962eef7dd5b56581cf405c4b37845343b12b4bd
COMMIT: 830ab77628c197fee47e44871b85d7283d3bc639
COMMIT: 8c5d5f9f0610ddb0d102b510581170f147397950
COMMIT: e71c64e56404f877decc452a460f2e93fb36e2c1
COMMIT: c00bca8ba044c0d0fd283c96838702de19122980
COMMIT: add9f990f73d43a97a4121235ec78295aeeca550
COMMIT: c88002ce8f213c1d1a7e53f2e8b84eb0c6bb166d
COMMIT: 98630fbcb810057f279c16c8fa4ff0d51199b91c
COMMIT: 8e0ae15f74049e393a3408b6c142c795749c5884
COMMIT: 9bd6d2e614d2d28b3ba745908a0993127e90d4be
COMMIT: 880642060ec238d14a1062560f4ccf58fc5f6081
COMMIT: 5dfc2931912a3a38e60f11a422868967feb44e77
COMMIT: ff7f48be6f5145f3dc9698ce4e46c2b7c568109c
COMMIT: 48ba106667813117dcd8e49f72efc8f4f1ca367e
COMMIT: 16765acecab47480d982703e0b81e5d0ea678348
COMMIT: 1d3f3fdfe46b34985a484a2d90a65742a3b6912e
COMMIT: ed0febea3947ec084afa88063ffc25c3e31db6cb
COMMIT: 4409a12af6c59bbc7d92c78dfb5d8299a3200e31
COMMIT: adc7c72caaf5425d7d74c283d84c6159f3bf9bc6
COMMIT: fb08fafc9c78fbb215b00549ca9b94b1cddd377b
COMMIT: bea3563c3d0b7eb98e4212cde51d31204191eed4
COMMIT: 2e112802e574e259a773b27bffcb830d5aa79c36
COMMIT: a4bf61f07b2231eed5da0e43c07f17a92b700490
COMMIT: fdbe6ce8492be0557d6538bb5bb7fba2f7512601
COMMIT: 0747a0efe9b4cc9ecd312f4428a6bcca68f8fbe4
COMMIT: fab2bb46c51e26924023606e120b00545c1fcab7
COMMIT: d315b1fa5a82ad20d2d6b4c55feb09dabe1e02b8
COMMIT: 199d98d096094dc384fe5ae0b4eba05813d5db49
COMMIT: ab31f9b2126cdc58cbeb87b39e20c69ec5497e7f
COMMIT: 30a8401d1461564a283810daacf78b5f6043a8d5
COMMIT: bbb0777162044b3f38e05ba31abea7f25cb4f484
COMMIT: 86a9417cfd7dfe42b9383ac05653fd822f8d86c3
COMMIT: f42e12940ca60ddec21242080be6bbb28bcc5253
COMMIT: f4c940f4fef1e14fd01fed04702b96fec4198030
COMMIT: a954daa43f6d34421e795664a195a7498cf8c750
COMMIT: 2582670925663f115962cce12d5b84c06ab3ecc4
COMMIT: 72c06401c0e78692a1cd81c3cfa8184bd959d4b1
COMMIT: 7a8719dfbcd626e053d43bd328c5d2a5520b0a95
COMMIT: 3495bd56cae624b764e23c29ca849f363cb7c24d
COMMIT: f1fa36fe60bd017b10149e49828e9553b24835fa
COMMIT: 971a354ebe37b5bda6a5cf7cc37304ebdde7d700
COMMIT: 6a89b2ab659e7aff4cec5f347b86d2d6b31cd790
COMMIT: 2eb1238648520948e93b5d9588c0398b4dbc20d5
COMMIT: 823b413c1f9212a57cc1bfa22be399d6658eccac
COMMIT: 0213fc4a34125539d372dcdf2593fa0a795bdf62
COMMIT: 11c70262c4d846451eb08d37f765a0b4503af51f
COMMIT: a7434635cb7948d08bf3b9e98adc5bfbfa5184f3
COMMIT: 22b8fe894fae9b4325e3f59e87d2e32619351166
COMMIT: 4ea051a93985d46b6b3f5e481e22f11bcc78bbaf
COMMIT: 1c4cc888f820d34efa70794815784d244ab4b101
COMMIT: 3039f4399dbef9c72c5312b15c9fbb781e3de5db
COMMIT: c5f81a85f567cca8cdef1369f398d135f3430a15
COMMIT: 98f718552d134a06695a204eebb9a5a77ec8706c
COMMIT: dd08fd2e7d8ffb10a4d72e2c777815bc2eae7d35
COMMIT: 5bcd1458c424c2e3958d9a9400ab0767dff8f15a
COMMIT: 417a7ec4c4ca259d85d05545b2ed987bb8fc39a0
COMMIT: 2103fd40c491a23c91c52154413e29cddff4f21e
COMMIT: 54c0ef9821dccb179726e728beb73d9b30eb7a7e
COMMIT: 259030de47daa3475ef939b3e9dd5b3d4b7f3fc5
COMMIT: eb200c988c141994486923dcf8d3bce6c11b4259
COMMIT: 61d3e52ad113828a5b8c6d094a05b664bfc06e4e
COMMIT: c0b2e6536bee08511c4180b437c375180cc8e2c6
COMMIT: 1ac8fab8840c64aff09a5e6040b289bece36d03b
COMMIT: b81ebaa38697ead108d1dcf61f6d344c819d3347
COMMIT: 7f183ef9e5c2785a3c96274434ba6690c52ca181
COMMIT: f101fbe820fda4c0840520f393cc3b66b2c90445
COMMIT: 53ac49ee915f44e733a73d81182e74b69dc5c3ab
COMMIT: cc16277ce6d5422d3dddc0b2a114e9a9d71e4360
COMMIT: fa1b2d87b157fb827f0cfde0a13e8ebda04e4165
COMMIT: 79e158d528ed7a1c6737671ea1f194cac7220975
COMMIT: 034de4f84b323d4f847a2f80519a92bb4fb97226
COMMIT: 697dbb13b33e6d9740d232975ba8d3552448e85b
COMMIT: 664595ef9e5828d1f7e5e02cc4abecdd01a82b11
COMMIT: 537441fc1540822dc19b3e3b2f70738483a6ff88
COMMIT: f481d312851c7693a5f2d73d35d4897eabca4165
COMMIT: ad7b75de0972cdd6461ace983e5df479e4673f33
COMMIT: 20acbfed04ae64ad2f08d22e2a243a9404d744ee
